Id,L0_S0_F0,L0_S0_F18,L0_S2_F52,L0_S3_F92,L0_S7_F136,L0_S9_F170,L0_S10_F224,L0_S10_F274,L0_S11_F318,L0_S12_F342,L0_S14_F366,L0_S15_F403,L0_S18_F435,L0_S21_F472,L0_S21_F522,L0_S22_F576,L0_S23_F627,L0_S23_F667,L1_S24_F733,L1_S24_F795,L1_S24_F834,L1_S24_F892,L1_S24_F953,L1_S24_F1000,L1_S24_F1026,L1_S24_F1083,L1_S24_F1126,L1_S24_F1176,L1_S24_F1240,L1_S24_F1298,L1_S24_F1356,L1_S24_F1401,L1_S24_F1451,L1_S24_F1502,L1_S24_F1567,L1_S24_F1604,L1_S24_F1662,L1_S24_F1728,L1_S24_F1778,L1_S24_F1814,L1_S24_F1838,L1_S25_F1869,L1_S25_F1909,L1_S25_F1963,L1_S25_F2016,L1_S25_F2066,L1_S25_F2116,L1_S25_F2161,L1_S25_F2190,L1_S25_F2226,L1_S25_F2258,L1_S25_F2312,L1_S25_F2365,L1_S25_F2411,L1_S25_F2437,L1_S25_F2462,L1_S25_F2487,L1_S25_F2514,L1_S25_F2569,L1_S25_F2623,L1_S25_F2677,L1_S25_F2716,L1_S25_F2741,L1_S25_F2767,L1_S25_F2795,L1_S25_F2842,L1_S25_F2896,L1_S25_F2950,L1_S25_F2997,L1_S25_F3020,L2_S26_F3047,L2_S26_F3121,L2_S27_F3170,L2_S28_F3241,L2_S28_F3311,L3_S29_F3342,L3_S29_F3376,L3_S29_F3412,L3_S29_F3449,L3_S29_F3479,L3_S30_F3519,L3_S30_F3569,L3_S30_F3614,L3_S30_F3664,L3_S30_F3714,L3_S30_F3764,L3_S30_F3814,L3_S33_F3855,L3_S34_F3876,L3_S35_F3908,L3_S37_F3944,L3_S39_F3972,L3_S41_F3996,L3_S41_F4018,L3_S43_F4090,L3_S44_F4121,L3_S47_F4158,L3_S48_F4200,L3_S50_F4241,L3_S51_F4262,Response,L0_S0_D1,L0_S3_D94,L0_S9_D197,L0_S11_D328,L0_S15_D413,L0_S21_D514,L0_S23_D649,L1_S24_D782,L1_S24_D904,L1_S24_D1023,L1_S24_D1143,L1_S24_D1257,L1_S24_D1403,L1_S24_D1522,L1_S24_D1639,L1_S24_D1785,L1_S25_D1857,L1_S25_D1980,L1_S25_D2128,L1_S25_D2214,L1_S25_D2314,L1_S25_D2434,L1_S25_D2499,L1_S25_D2615,L1_S25_D2729,L1_S25_D2794,L1_S25_D2932,L1_S25_D3025,L2_S26_D3122,L2_S28_D3227,L3_S29_D3331,L3_S29_D3415,L3_S30_D3501,L3_S30_D3651,L3_S30_D3796,L3_S35_D3895,L3_S40_D3987,L3_S42_D4053,L3_S47_D4170,L3_S51_D4263,L0_S1_F25,L0_S6_F133,L0_S10_F238,L0_S14_F367,L0_S21_F495,L0_S22_F585,L1_S24_F686,L1_S24_F769,L1_S24_F868,L1_S24_F956,L1_S24_F1064,L1_S24_F1167,L1_S24_F1263,L1_S24_F1350,L1_S24_F1440,L1_S24_F1542,L1_S24_F1638,L1_S24_F1726,L1_S25_F1861,L1_S25_F1962,L1_S25_F2050,L1_S25_F2142,L1_S25_F2286,L1_S25_F2376,L1_S25_F2546,L1_S25_F2635,L1_S25_F2774,L1_S25_F2882,L1_S25_F2973,L2_S26_F3105,L2_S27_F3202,L2_S28_F3298,L3_S29_F3446,L3_S30_F3557,L3_S30_F3648,L3_S30_F3740,L3_S30_F3832,L3_S42_F4031,L3_S46_F4136,L3_S49_F4240
47765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.119,,,-0.109,,0.148,-0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,0.112,0.057,0.109,0.0,0.007,-0.038,0.0,-0.013,0.0,0.012,0.013,-0.119,0.0,0.0,0.0,,,,,,,,,,1,,,,,,,,,,,,,,803.92,,,,,,,,,,,,,,,,,808.49,808.49,808.5,808.5,808.5,808.52,,,,,,,,,,,,,,,,,,,,T1,,T1,,,,,,,,,,,,,,,T1,,,,,,,
50608,-0.108,-0.11,0.0,,-0.164,,-0.035,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011,0.176,0.037,-0.011,-0.024,-0.072,,,,,0.012,0.013,0.108,0.0,0.0,0.0,,,,,,,,,,0,347.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.41,349.41,349.41,,349.41,349.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,0.069,-0.067,0.0,,-0.164,,,,-0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.048,,,,0.008,0.023,0.101,0.008,0.102,-0.046,0.016,0.0,0.021,0.0,0.011,0.013,-0.074,0.0,,0.0,,,,,,,,,,1,640.2,,,640.23,,,,,,,,,,,,,,,,,,,,,,,,,642.81,,653.47,653.47,653.48,653.48,653.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
8917,0.082,0.115,,0.019,,,-0.055,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,0.023,0.063,-0.031,-0.027,-0.125,-0.092,0.0,-0.011,0.0,0.009,0.013,0.108,0.0,0.0,0.0,,,,,,,,,,0,975.52,975.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.1,978.1,978.11,978.11,978.11,978.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
39229,0.043,0.104,0.0,,0.336,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,,,-0.031,-0.079,0.063,-0.031,-0.059,0.164,-0.011,0.0,0.022,0.0,0.012,0.013,-0.119,0.0,0.0,0.0,,,,,,,,,,0,1247.57,,,1247.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1259.25,1259.25,1259.25,1259.25,1259.25,1259.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
50752,0.115,-0.126,0.0,,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.081,-0.079,0.096,-0.081,0.047,0.007,0.016,0.0,-0.014,0.0,0.011,0.013,-0.029,0.0,0.0,0.0,,,,,,,,,,0,1713.68,,1713.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,1718.41,1718.41,1718.41,1718.41,1718.41,1718.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
23542,0.088,0.024,,-0.081,-0.164,,-0.239,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005,-0.021,0.104,-0.005,-0.043,-0.046,0.016,0.0,0.012,0.0,0.013,0.013,0.199,0.0,0.0,0.0,,,,,,,,,,0,1647.4,1647.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649.88,1649.88,1649.88,1649.88,1649.88,1649.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
26200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,,,0.428,-0.111,,-0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.167,-0.05,,,,0.07,-0.028,0.063,0.07,-0.035,-0.046,0.016,0.0,-0.003,0.0,0.011,0.013,0.062,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,1174.86,,1174.89,,,,,,,,,,,,,1179.6,,1188.08,1188.08,1188.08,1188.08,1188.08,1188.11,,,,,,,,,,,,,,,,,,,,T1,,T1,,,,,,,,,,,,,,,,,,,,,,
28615,,,,,,,,,,-0.018,,0.045,,-0.022,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,0.1,-0.029,0.168,0.016,0.086,,,,,0.005,0.013,-0.029,0.0,0.0,0.0,,,,,,,,,,0,,,,,183.59,183.62,,,,,,,,,,,,,,,,,,,,,,,,,185.66,185.66,185.67,,185.67,185.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
15292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.059,-0.008,-0.057,,-0.111,,-0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.165,-0.076,,,,-0.081,0.004,0.063,-0.081,-0.043,0.059,0.097,0.0,0.022,0.0,0.014,0.013,0.062,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,1175.46,1175.46,1175.47,,,,,,,,,,,,,1190.35,,1193.89,1193.89,1193.89,1193.89,1193.89,1193.91,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,T1,,,,,,,
55535,-0.003,0.072,,0.019,-0.164,,-0.001,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,-0.193,0.037,0.131,0.137,-0.125,,,,,0.011,0.013,0.244,0.0,0.0,0.0,,,,,,,,,,0,324.61,324.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.6,333.6,333.6,,333.6,333.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
5840,,,,,,,,,,,,,,,,,,,0.068,-0.067,0.012,-0.051,,,0.012,-0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024,0.077,,,,0.084,0.093,0.057,0.084,-0.027,0.059,-0.065,0.0,-0.012,0.0,0.012,0.013,0.062,0.0,,0.0,,,,,,,,,,0,,,,,,,,804.09,804.09,804.09,,,,,,,,,,,,,,,,,,,808.05,,811.61,811.61,811.61,811.61,811.61,,,,,,,,,,,,,T1,,,T3,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
21140,-0.095,-0.051,,0.019,-0.164,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,-0.028,0.082,0.07,0.0,0.007,,,,,0.014,0.013,0.062,0.0,0.0,0.0,,,,,,,,,,0,490.03,490.04,490.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.25,491.25,491.25,,491.25,491.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59770,-0.049,-0.142,,0.119,-0.164,,,,-0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,-0.034,0.063,0.045,-0.047,0.059,-0.065,0.0,-0.004,0.0,0.012,0.013,0.108,0.0,0.0,0.0,,,,,,,,,,0,1153.44,1153.44,,1153.48,,,,,,,,,,,,,,,,,,,,,,,,,,,1154.33,1154.33,1154.33,1154.33,1154.33,1154.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
22024,0.108,-0.11,0.0,,-0.164,,-0.092,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,-0.064,-0.039,,-0.129,,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.106,0.042,0.104,-0.106,-0.094,0.086,0.097,0.0,-0.013,0.0,0.013,0.013,0.062,0.0,0.0,0.0,,,,,,,,,,0,1650.96,,,,,,,,,,,,,1651.44,1651.44,1651.45,,,,,,,,,,,,,,,1658.98,1658.98,1658.99,1658.99,1658.99,1659.01,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,T1,,,,,,,
32823,,,,,,,,,,0.018,-0.034,,-0.01,,,-0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,-0.142,0.082,0.045,-0.047,0.296,0.016,0.0,-0.012,0.0,0.01,0.013,0.153,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.25,1425.25,1425.26,1425.26,1425.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24520,-0.01,0.158,,0.019,,,,,-0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056,-0.06,0.063,-0.056,0.004,0.138,-0.011,0.0,-0.013,0.0,0.016,0.013,0.108,0.0,,0.0,,,,,,,,,,0,972.16,972.17,,972.19,,,,,,,,,,,,,,,,,,,,,,,,,,,974.03,974.03,974.03,974.03,974.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
36970,0.062,-0.046,,0.019,-0.164,,-0.033,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.081,0.004,0.104,-0.081,-0.078,0.033,0.043,0.0,0.029,0.0,0.011,0.013,0.153,0.0,,0.0,,,,,,,,,,0,1594.98,1594.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.89,1598.89,1598.9,1598.9,1598.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25320,0.043,0.061,0.0,,-0.164,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.182,-0.015,0.063,-0.182,-0.043,-0.046,0.016,0.0,-0.012,0.0,0.013,0.013,-0.21,0.0,,0.0,,,,,,,,,,0,1227.2,,1227.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.91,1238.91,1238.91,1238.91,1238.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,-0.008,0.346,,0.053,,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.186,-0.137,,,,0.104,0.011,0.037,0.104,0.098,-0.125,,,,,0.018,0.013,0.017,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,373.2,373.21,373.21,,,,,,,,,,,,,416.25,,421.37,421.37,421.37,,421.37,421.39,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,T1,,,,,,,
9781,0.01,-0.056,0.0,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,-0.168,0.082,0.045,0.043,-0.02,0.097,0.0,-0.012,0.0,0.01,0.013,,,,0.0,,,,,,,,,,0,1291.51,,1291.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294.76,1294.76,1294.77,1294.77,1294.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16153,,,,,,,,,,0.002,,0.109,-0.01,0.041,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033,-0.066,0.037,-0.033,-0.031,-0.204,,,,,0.012,0.013,0.017,0.0,,0.0,,,,,,,,,,0,,,,,381.84,381.86,,,,,,,,,,,,,,,,,,,,,,,,,389.88,389.88,389.88,,389.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
27124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,,,0.049,0.171,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365,-0.035,,,,0.109,0.03,0.057,0.109,-0.031,0.059,-0.254,0.0,0.004,0.0,0.011,0.013,0.108,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,775.47,,775.48,,,,,,,,,,,,,785.34,,790.26,790.26,790.27,790.27,790.27,790.28,,,,,,,,,,,,,,,,,,,,T1,,T1,,,,,,,,,,,,,,,T1,,,,,,,
37049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,0.009,-0.007,,0.283,,0.098,,,,,,,,-0.349,0.05,,,,0.02,-0.072,0.063,0.02,-0.051,0.112,-0.065,0.0,-0.012,0.0,0.013,0.013,-0.119,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1162.83,,1162.84,,,,1179.45,,1183.1,1183.1,1183.11,1183.11,1183.11,1183.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
11577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,-0.008,-0.087,,-0.084,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,0.042,,,,0.033,-0.04,0.057,0.033,-0.02,-0.046,-0.092,0.0,0.021,0.0,0.017,0.013,-0.119,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,724.81,724.82,724.82,,,,,,,,,,,,,757.8,,760.3,760.3,760.31,760.31,760.31,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,T1,,,,,,,
29599,,,,,,,,,,-0.01,,-0.201,,-0.095,-0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,-0.041,,,,0.045,-0.047,0.063,0.045,0.039,0.086,-0.2,0.0,-0.001,0.0,0.018,0.013,0.244,0.0,,0.0,,,,,,,,,,0,,,,,1128.51,1128.54,,,,,,,,,,,,,,,,,,,,,,,1128.61,,1140.15,1140.15,1140.15,1140.15,1140.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
7391,0.108,0.2,0.0,,-0.164,,-0.012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,,,0.084,0.119,0.063,0.084,-0.059,0.007,-0.038,0.0,-0.013,0.0,0.014,0.013,0.017,0.0,0.0,0.0,,,,,,,,,,0,925.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.1,930.1,930.1,930.1,930.1,930.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
9978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.0,0.002,,-0.015,,-0.087,,,,,,,,,,,,,,,,,,,,,,,0.015,-0.045,,,,0.045,-0.009,0.063,0.045,-0.063,-0.151,0.124,0.0,-0.003,0.0,0.016,0.013,0.199,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,1180.64,,,,,,,,,,,,1198.76,,1209.07,1209.07,1209.07,1209.07,1209.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
35798,-0.088,-0.158,0.0,,0.336,,0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056,0.023,0.104,-0.056,-0.086,0.217,0.178,0.0,-0.004,0.0,0.011,0.013,-0.074,0.0,,0.0,,,,,,,,,,0,1584.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591.62,1591.62,1591.62,1591.62,1591.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
27610,0.121,0.061,0.0,,-0.164,,-0.099,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.074,0.063,0.045,-0.031,-0.046,0.043,0.0,0.021,0.0,0.014,0.013,0.153,0.0,0.0,0.0,,,,,,,,,,0,1148.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.9,1148.9,1148.9,1148.9,1148.9,1148.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
975,-0.075,0.013,,0.019,,,-0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.106,-0.015,0.104,-0.106,-0.078,0.112,0.07,0.0,-0.005,0.0,0.012,0.013,-0.119,0.0,,0.0,,,,,,,,,,0,1566.11,1566.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.23,1568.23,1568.23,1568.23,1568.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
37857,-0.01,-0.137,0.0,,-0.164,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,0.153,,,,0.065,0.049,0.037,0.065,0.075,-0.204,,,,,0.011,0.013,0.199,0.0,0.0,0.0,,,,,,,,,,0,343.19,,343.22,,,,,,,,,,,,,,,,,,,,,,,,,,343.44,,348.61,348.61,348.62,,348.62,348.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
28137,-0.029,0.051,,0.019,,-0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-0.123,0.063,0.02,-0.039,-0.125,0.07,0.0,0.024,0.0,0.013,0.013,0.153,0.0,0.0,0.0,,,,,,,,,,0,1125.84,1125.84,1125.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.4,1127.4,1127.41,1127.41,1127.41,1127.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
9623,0.082,0.142,0.0,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009,0.1,-0.702,-0.009,0.106,0.086,,,,,0.01,0.013,-0.029,0.0,0.0,0.0,,,,,,,,,,0,139.62,,,139.66,,,,,,,,,,,,,,,,,,,,,,,,,,,140.16,140.16,140.17,,140.17,140.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
59572,-0.055,0.099,,0.019,-0.164,,0.039,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,,,-0.106,-0.021,0.063,-0.106,-0.02,0.033,0.07,0.0,0.012,0.0,0.013,0.013,-0.119,0.0,0.0,0.0,,,,,,,,,,0,959.97,959.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.93,962.93,962.94,962.94,962.94,962.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
34190,-0.095,-0.024,0.0,,-0.164,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,0.163,0.082,-0.07,0.039,-0.099,-0.038,0.0,0.013,0.0,0.013,0.013,-0.029,0.0,0.0,0.0,,,,,,,,,,0,571.06,,571.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.76,572.76,572.77,572.77,572.77,572.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
49650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.203,-0.008,0.006,,,0.02,-0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,-0.173,,,,,,,,,-0.02,0.124,0.0,-0.012,0.0,0.014,0.013,-0.119,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,1213.83,1213.94,,,,,,,,,,,,,,1221.95,,,,1226.23,1226.23,1226.23,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,
2724,,,,,,,,,,0.026,-0.034,,,,,,0.001,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,,,-0.031,0.023,0.063,-0.031,-0.067,0.086,-0.065,0.0,-0.012,0.0,0.016,0.013,0.153,0.0,,0.0,,,,,,,,,,0,,,,,,,1259.79,,,,,,,,,,,,,,,,,,,,,,,,1262.05,1262.05,1262.05,1262.05,1262.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7114,-0.042,0.035,,-0.081,,,,,-0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,0.004,0.082,-0.08,0.106,-0.125,0.016,0.0,0.013,0.0,0.012,0.013,-0.029,0.0,0.0,0.0,,,,,,,,,,0,558.5,558.51,,558.53,,,,,,,,,,,,,,,,,,,,,,,,,,,560.43,560.43,560.43,560.43,560.43,560.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
46645,0.036,0.12,0.0,,,,0.056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,0.011,-0.725,0.205,,0.033,,,,,0.009,0.013,0.153,0.0,,0.0,,,,,,,,,,0,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,4.22,4.23,,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
36045,-0.16,0.04,0.0,,0.336,-0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,0.036,-0.029,-0.04,,0.086,,,,,0.007,0.013,0.108,0.0,0.0,0.0,,,,,,,,,,0,203.63,,203.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.46,204.46,204.46,,204.46,204.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
41118,,,,,,,,,,-0.014,-0.034,,,0.081,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.085,0.144,-0.702,-0.085,0.09,-0.072,,,,,0.011,0.013,-0.029,0.0,,0.0,,,,,,,,,,0,,,,,,122.15,,,,,,,,,,,,,,,,,,,,,,,,,130.8,130.8,130.8,,130.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
29808,0.043,0.131,0.0,,-0.164,,,,-0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,0.03,0.063,0.109,0.078,0.059,-0.038,0.0,0.008,0.0,0.013,0.013,0.062,0.0,0.0,0.0,,,,,,,,,,0,939.29,,,939.32,,,,,,,,,,,,,,,,,,,,,,,,,,,943.97,943.97,943.98,943.98,943.98,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
